AÑO / MES / DÍA,TEMPERATURA (°C) Max, TEMPERATURA (°C) Min, HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2019-01-01,26.2,20,84.5,0.0
2019-06-01,18,16.4,94.2,0.3
2019-06-02,20.2,16.2,91.1,0.0
2019-06-03,18.3,16.4,93.3,0.0
2019-06-04,17.8,16.3,90.4,1.3
2019-06-05,17.2,15.6,95.1,0.0
2019-06-06,18.8,15.5,90.7,0.3
2019-06-07,18,15.6,92.6,0.0
2019-06-08,18.2,15.4,92.9,0.0
2019-06-09,17.8,15.5,95.4,0.3
2019-06-10,17.9,15.6,94.8,0.0
2019-06-11,18,15.5,93.5,0.2
2019-06-12,18.8,15.5,90.2,0.0
2019-06-13,19.6,15.7,88.9,0.0
2019-06-14,18.3,15.8,89.1,0.0
2019-06-15,18,16.1,90.6,0.4
2019-06-16,18.2,15.5,93.3,0.1
2019-06-17,17.2,15.6,93.5,0.6
2019-06-18,17,15.4,93.4,0.5
2019-06-19,17.4,15.1,94.7,0.5
2019-06-20,16.7,15.2,96.3,0.5
2019-06-21,17.2,15.2,93.2,0.2
2019-06-22,17.4,15,92.6,0.0
2019-06-23,19.4,15.8,88.1,0.0
2019-06-24,20,15.5,87.3,0.0
2019-06-25,18,15.2,90.0,0.0
2019-06-26,19.8,15.3,90.5,0.0
2019-06-27,18.1,15.4,88.7,0.0
2019-06-28,18,15.5,90.7,0.0
2019-06-29,18.9,15.7,91.8,0.5
2019-06-30,19,15.8,92.2,0.0
