"Department","Province","District","Month","Year","IncidenceCount","X._Pop_1_NBI","X._Inadq_Housing","X._Overcrowding","X._Pop_No_Hygeine","X._High_Econ_Depend","X._Pop_No_pubwater","X._No_Light","X._Homes_Dirt_Floor","X._Homes_Firewood","X._no_computer","X._no_cellphone","X._no_internet","X._Homes_1_room","X._Difficulty_Moving","X._limited_interact_wothes","Illiteracy_Rate","Precipitation","Temperature","Wind_Speed","Wind_Direction_Degrees","Relative_Humidity"
"LIMA","LIMA","ANCON","May",2020,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0.3,19.6380376344086,1.98951612903226,248.236559139785,83.125
"LIMA","LIMA","ANCON","June",2020,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,17.7111111111111,1.91430555555556,243.533333333333,84.6069444444445
"LIMA","LIMA","ANCON","July",2020,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0.1,16.144623655914,1.8752688172043,230.120967741935,84.8897849462366
"LIMA","LIMA","ANCON","August",2020,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,16.2495967741935,2.19784946236559,236.456989247312,83.4368279569892
"LIMA","LIMA","ANCON","September",2020,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,16.6853963838665,2.22906815020862,233.951321279555,83.0139082058414
"LIMA","LIMA","ANCON","October",2020,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,17.9069892473118,2.33077956989247,244.545698924731,82.3629032258064
"LIMA","LIMA","ANCON","November",2020,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,18.5874651810585,2.31713091922006,233.387186629526,80.4359331476323
"LIMA","LIMA","ANCON","December",2020,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,5.5,20.7534320323015,2.24845222072678,247.152086137281,81.7402422611036
"LIMA","LIMA","ANCON","January",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0.2,21.8991924629879,2.13593539703903,275.943472409152,81.9555854643338
"LIMA","LIMA","ANCON","February",2021,0,0.217,0.107,0.097,0.009,0.012,0.4872362049,0.1551981826,0.1667961978,0.07087200642,0.7165119743,0.08668500057,0.7100378137,0.254737849,0.02334413933,0.00921688279,0.07869310959,0,22.2425595238095,2.15997023809524,277.907738095238,82.25
