AÑO / MES / DÍA,TEMPERATURA (°C) Max, TEMPERATURA (°C) Min, HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2019-01-01,26.2,20,84.5,0.0
2019-06-01,25.4,14.2,87.0,0.0
2019-06-02,26.2,14.2,85.7,0.0
2019-06-03,25.4,15.6,87.1,0.0
2019-06-04,23.4,14.6,87.4,0.0
2019-06-05,25,14.4,88.7,0.0
2019-06-06,25.2,13.2,89.0,0.0
2019-06-07,25.4,13.8,88.2,0.0
2019-06-08,24.4,14.2,86.8,0.0
2019-06-09,25.4,13.6,88.4,0.0
2019-06-10,24.6,13.6,88.7,0.0
2019-06-11,25,12.6,87.6,0.0
2019-06-12,24.4,14.2,88.0,0.0
2019-06-13,24,13.2,87.8,0.0
2019-06-14,23.4,12.2,85.7,0.0
2019-06-15,23,12.6,86.9,0.0
2019-06-16,20.2,12.2,91.0,0.0
2019-06-17,19.4,12.8,91.4,0.0
2019-06-18,19.2,12.6,89.7,0.0
2019-06-19,19.4,12.2,91.5,0.0
2019-06-20,20,12.4,89.6,0.0
2019-06-21,21,12.2,89.8,0.0
2019-06-22,20.6,11.4,91.1,0.0
2019-06-23,21.4,11.8,88.0,0.0
2019-06-24,23.4,11.4,87.6,0.0
2019-06-25,20.8,12.2,88.6,0.0
2019-06-26,22.2,12.2,91.2,0.0
2019-06-27,23.2,11.8,89.6,0.0
2019-06-28,22.6,11.6,89.5,0.0
2019-06-29,23.2,11.8,86.9,0.0
2019-06-30,20.6,12,90.9,0.0
