AÑO / MES / DÍA,TEMPERATURA (°C) Max, TEMPERATURA (°C) Min, HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día) TOTAL
2019-01-01,26.2,20,84.5,0.0
2019-01-01,27.2,17.6,86.3,0.0
2019-01-02,27.4,17.6,86.3,0.0
2019-01-03,26.6,17.2,85.7,0.0
2019-01-04,27,17.8,89.4,0.0
2019-01-05,26.5,18.4,86.6,0.0
2019-01-06,25.8,17.6,86.6,0.0
2019-01-07,26.6,18,86.8,0.0
2019-01-08,26.4,18.2,86.4,0.0
2019-01-09,27.2,18.6,86.0,0.0
2019-01-10,27.6,18.2,87.2,0.0
2019-01-11,27.4,18,88.0,0.0
2019-01-12,27,18.2,87.3,0.0
2019-01-13,27.6,18.6,87.1,0.0
2019-01-14,27.4,17.8,87.1,0.0
2019-01-15,27.4,18.4,85.8,0.0
2019-01-16,27.6,18.4,87.1,0.0
2019-01-17,28,18.2,84.9,0.0
2019-01-18,27,18,85.2,0.7
2019-01-19,27.6,17.6,85.0,0.0
2019-01-20,27.8,19.4,88.2,0.0
2019-01-21,26.6,18.2,85.5,0.0
2019-01-22,27.2,17.6,85.2,0.0
2019-01-23,28.2,18.4,86.9,0.0
2019-01-24,27.2,18.2,86.0,0.0
2019-01-25,27.6,19.2,85.4,0.0
2019-01-26,27.6,18.2,86.6,0.0
2019-01-27,27.6,18.8,86.7,0.0
2019-01-28,28,17.2,87.2,0.0
2019-01-29,27.8,18.2,86.3,0.0
2019-01-30,27.6,18.4,87.4,0.0
2019-01-31,27.6,18.6,85.6,0.0
