"ID","Year","Month","Precipitation","Temperature","Wind_Speed","Wind_Direction_Degrees","Relative_Humidity","District"
385,2019,"January",0.8,23.4721640995834,1.52806539509537,197.207084468665,83.9453114404727,"VILLA MARIA DEL TRIUNFO"
386,2019,"February",0.533333333333333,24.9488095238095,1.56158536585366,200.853658536585,82.6845238095238,"VILLA MARIA DEL TRIUNFO"
387,2019,"March",0.366666666666667,24.0040658602151,1.50147590772591,206.097085722086,79.7381048387097,"VILLA MARIA DEL TRIUNFO"
388,2019,"April",1.2,15.3603351955307,0.709638554216868,183.036626506024,80.0559511648746,"VILLA MARIA DEL TRIUNFO"
389,2019,"May",2.56666666666667,19.5075971697284,1.26676644664168,205.173847810237,85.4672653904267,"VILLA MARIA DEL TRIUNFO"
390,2019,"June",1.825,16.8024865126374,1.2523923679847,208.540260173447,89.5983756123967,"VILLA MARIA DEL TRIUNFO"
391,2019,"July",5.9,14.1664609053498,0.731275720164609,194.944732510288,91.2512649571685,"VILLA MARIA DEL TRIUNFO"
392,2019,"August",3.6,14.1394160583942,0.802919708029197,199.957313868613,87.5982352400938,"VILLA MARIA DEL TRIUNFO"
393,2019,"September",4.9,14.9834722222222,0.946944444444444,215.228,85.7008522334584,"VILLA MARIA DEL TRIUNFO"
394,2019,"October",2.4,15.9778901734104,1.01488439306358,219.716156069364,81.4415073713873,"VILLA MARIA DEL TRIUNFO"
395,2019,"November",0,19.5578313253012,1.16867469879518,234.361325301205,79.7752684164311,"VILLA MARIA DEL TRIUNFO"
396,2019,"December",5.2,20.3087483176312,1.13781965006729,224.347833109018,80.0868195167272,"VILLA MARIA DEL TRIUNFO"
397,2020,"January",3.2,22.254693877551,1.21795918367347,216.737346938776,79.096276178198,"VILLA MARIA DEL TRIUNFO"
398,2020,"February",0,23.928125,2.14870886387114,215.220130044774,77.2235147915496,"VILLA MARIA DEL TRIUNFO"
399,2020,"March",0.3,23.825340599455,1.31767068273092,228.242329317269,72.0652100822368,"VILLA MARIA DEL TRIUNFO"
400,2020,"April",0,22.0081460674157,1.25969101123596,217.086755617978,74.1275116161697,"VILLA MARIA DEL TRIUNFO"
401,2020,"May",1,18.7986559139785,1.14072580645161,211.826639784946,77.0248204952334,"VILLA MARIA DEL TRIUNFO"
402,2020,"June",2.6,16.2223611111111,1.06430555555556,208.113291666667,82.4177949960896,"VILLA MARIA DEL TRIUNFO"
403,2020,"July",0.2,14.9580434782609,1.08652173913043,206.685,82.7766528394729,"VILLA MARIA DEL TRIUNFO"
404,2020,"August",2.6,14.7546979865772,1.16610738255034,217.459395973154,81.0312692982353,"VILLA MARIA DEL TRIUNFO"
405,2020,"September",3.4,15.4429567642957,1.24797768479777,228.685244072524,83.4247784015698,"VILLA MARIA DEL TRIUNFO"
406,2020,"October",1.9,16.9552380952381,1.27823129251701,231.316843537415,80.1335933159053,"VILLA MARIA DEL TRIUNFO"
407,2020,"November",1.1,17.75625,1.31958333333333,220.127402777778,78.0966792155454,"VILLA MARIA DEL TRIUNFO"
408,2020,"December",3,18.5935028248588,0.649435028248588,129.039265536723,79.2021105254788,"VILLA MARIA DEL TRIUNFO"
409,2021,"January",1.42,21.9893256677652,1.78379863228324,218.312070264181,74.5784007409596,"VILLA MARIA DEL TRIUNFO"
410,2021,"February",0.14,22.7118224709238,1.83081111476849,220.03163004718,72.0323288525473,"VILLA MARIA DEL TRIUNFO"
411,2021,"March",0.52,23.0752450873837,2.11935773700838,225.931816297375,72.4103886408862,"VILLA MARIA DEL TRIUNFO"
412,2021,"April",0.2,20.4682571676321,2.00289434394066,226.702031439811,77.2436771446138,"VILLA MARIA DEL TRIUNFO"
413,2021,"May",1.18333333333333,17.7662137288156,1.72152087924899,216.739453525015,84.8049877828038,"VILLA MARIA DEL TRIUNFO"
414,2021,"June",1.4,16.7208395718839,1.55122805348466,204.969465082209,84.707875730774,"VILLA MARIA DEL TRIUNFO"
415,2021,"July",0.766666666666667,15.8882846393759,1.691295793371,205.453288286545,81.4197593454785,"VILLA MARIA DEL TRIUNFO"
416,2021,"August",3.1,14.0842105263158,0.768791208791209,179.531120879121,84.8413996196935,"VILLA MARIA DEL TRIUNFO"
417,2021,"September",0.5,14.7925,0.949264705882353,210.087058823529,80.7219502467688,"VILLA MARIA DEL TRIUNFO"
418,2021,"October",1.4,15.7649932157395,1.12225237449118,220.818968792402,77.5699813598016,"VILLA MARIA DEL TRIUNFO"
419,2021,"November",0.3,17.1460451977401,1.12485875706215,220.112259887006,76.6942886195548,"VILLA MARIA DEL TRIUNFO"
420,2021,"December",2,19.066814159292,1.123598820059,194.415560471976,75.9679575036748,"VILLA MARIA DEL TRIUNFO"
421,2022,"January",4.2,21.8636363636364,1.16092265943012,196.31552238806,71.9122005613702,"VILLA MARIA DEL TRIUNFO"
422,2022,"February",0.6,22.3764227642276,1.04439024390244,214.006130081301,68.5107594783896,"VILLA MARIA DEL TRIUNFO"
423,2022,"March",0.6,22.7611559139785,1.02970430107527,208.308965053763,67.7610779083463,"VILLA MARIA DEL TRIUNFO"
424,2022,"April",0.5,19.6770893371758,1.03184438040346,206.265057636888,75.0405855733619,"VILLA MARIA DEL TRIUNFO"
425,2022,"May",0.6,16.939027982327,0.921502209131075,193.10970544919,77.0258300055792,"VILLA MARIA DEL TRIUNFO"
426,2022,"June",1.5,15.3286723163842,0.924152542372881,177.73593220339,78.1491280844377,"VILLA MARIA DEL TRIUNFO"
427,2022,"July",0.4,14.3797122302158,0.815971223021583,171.024244604317,79.9471258920504,"VILLA MARIA DEL TRIUNFO"
