"ID","Year","Month","Precipitation","Temperature","Wind_Speed","Wind_Direction_Degrees","Relative_Humidity","District"
181,2019,"January",0.7,22.7851351351351,1.52806539509537,197.207084468665,86.1837837837838,"LURIGANCHO"
182,2019,"February",1.6,23.4178571428571,1.56158536585366,200.853658536585,87.0464285714286,"LURIGANCHO"
183,2019,"March",0,23.5516129032258,1.50147590772591,206.097085722086,86.7741935483871,"LURIGANCHO"
184,2019,"April",0,22.1633333333333,1.43320506072766,202.372371820999,86.7233333333333,"LURIGANCHO"
185,2019,"May",0,20.5741935483871,1.26676644664168,205.173847810237,87.6645161290323,"LURIGANCHO"
186,2019,"June",0,17.9033333333333,1.2523923679847,208.540260173447,88.6466666666667,"LURIGANCHO"
187,2019,"July",0.1,15.2161290322581,1.00040322580645,171.081989247312,89.247311827957,"LURIGANCHO"
188,2019,"August",0,15.505376344086,1.11397849462366,171.33064516129,83.2217741935484,"LURIGANCHO"
189,2019,"September",1.7,16.5011111111111,1.38486111111111,162.475,82.525,"LURIGANCHO"
190,2019,"October",0,17.2948924731183,1.61586021505376,165.783602150538,78.8427419354839,"LURIGANCHO"
191,2019,"November",0,19.2357938718663,1.84846796657382,167.995821727019,78.2674094707521,"LURIGANCHO"
192,2019,"December",0,20.8013440860215,1.73293010752688,173.768817204301,78.1397849462366,"LURIGANCHO"
193,2020,"January",1.2,22.5420698924731,1.64422043010753,187.137096774194,77.5255376344086,"LURIGANCHO"
194,2020,"February",0.1,23.6918103448276,1.51968390804598,174.300287356322,74.1968390804598,"LURIGANCHO"
195,2020,"March",0,24.2990049751244,1.46268656716418,177.517412935323,67.8723051409619,"LURIGANCHO"
196,2020,"April",0,25.0690909090909,2.92372881355932,197.403409090909,62.8977272727273,"LURIGANCHO"
197,2020,"May",0,24.4944444444444,3.17857142857143,203.333333333333,60.4418604651163,"LURIGANCHO"
198,2020,"June",0,20.9660377358491,3.378125,205.1875,64.4615384615385,"LURIGANCHO"
199,2020,"July",0,20.5666666666667,3.09673913043478,202.282608695652,62.3695652173913,"LURIGANCHO"
200,2020,"August",0,21.69,3.47906976744186,212.441860465116,55.4186046511628,"LURIGANCHO"
201,2020,"September",0.8,17.5037878787879,1.66541353383459,148.03007518797,76.0601503759399,"LURIGANCHO"
202,2020,"October",0.1,18.5115746971736,1.59205921938089,160.893674293405,75.4939434724092,"LURIGANCHO"
203,2020,"November",0.2,18.3339360222531,1.72545201668985,168.09735744089,76.3727399165508,"LURIGANCHO"
204,2020,"December",2.1,20.0418010752688,1.70147849462366,164.961021505376,80.6491935483871,"LURIGANCHO"
205,2021,"January",3.7,22.1975806451613,1.47822580645161,166.290322580645,72.5685483870968,"LURIGANCHO"
206,2021,"February",0.1,23.3741071428571,1.41904761904762,181.97619047619,62.6607142857143,"LURIGANCHO"
207,2021,"March",1.2,23.9963709677419,1.46706989247312,175.264784946237,62.0013440860215,"LURIGANCHO"
208,2021,"April",1.1,22.0866666666667,1.41416666666667,172.358333333333,68.9805555555556,"LURIGANCHO"
209,2021,"May",0.3,18.9254032258065,1.33172043010753,175.353494623656,78.5376344086021,"LURIGANCHO"
210,2021,"June",0.4,16.2454166666667,1.14166666666667,185.006944444444,89.3041666666667,"LURIGANCHO"
211,2021,"July",0.1,15.6409946236559,1.13387096774194,177.790322580645,87.2016129032258,"LURIGANCHO"
212,2021,"August",0,16.1991924629879,1.21628532974428,164.084791386272,83.2543741588156,"LURIGANCHO"
213,2021,"September",0,17.1973611111111,1.35958333333333,155.077777777778,77.1805555555556,"LURIGANCHO"
214,2021,"October",0,18.1595430107527,1.53951612903226,152.903225806452,74.3037634408602,"LURIGANCHO"
215,2021,"November",0,18.0908333333333,1.75972222222222,158.572222222222,79.2375,"LURIGANCHO"
216,2021,"December",0,19.702688172043,1.61438172043011,160.490591397849,78.2755376344086,"LURIGANCHO"
217,2022,"January",2.3,22.1856182795699,1.5510752688172,173.241935483871,71.366935483871,"LURIGANCHO"
218,2022,"February",1,23.2418535127055,1.3521021021021,178.430930930931,61.6896551724138,"LURIGANCHO"
219,2022,"March",0,24.031713900135,1.36801619433198,176.071524966262,58.4750337381916,"LURIGANCHO"
220,2022,"April",0,21.7112656467316,1.40625869262865,169.144645340751,66.3477051460362,"LURIGANCHO"
221,2022,"May",0.9,18.0897574123989,1.27533692722372,170.854447439353,76.8032345013477,"LURIGANCHO"
222,2022,"June",0.2,15.8819193324061,1.10069735006974,180.299860529986,81.2127955493741,"LURIGANCHO"
223,2022,"July",0.2,15.0839622641509,1.01482479784367,169.553908355795,84.4716981132076,"LURIGANCHO"
224,2022,"August",0,15.5630376344086,1.03481182795699,159.478494623656,81.5981182795699,"LURIGANCHO"
225,2022,"September",0,15.7535465924896,1.30834492350487,165.034770514604,80.518776077886,"LURIGANCHO"
226,2022,"October",0,16.6889636608345,1.53045822102426,158.316711590297,76.6514131897712,"LURIGANCHO"
227,2022,"November",0.3,17.9750348675035,1.72220670391061,184.441340782123,78.5893854748603,"LURIGANCHO"
228,2022,"December",1.3,20.857469717362,1.59394347240915,184.100942126514,74.1870794078062,"LURIGANCHO"
229,2023,"January",1.4,23.0949932341001,1.47967479674797,189.529810298103,59.5142083897158,"LURIGANCHO"
230,2023,"February",1.36666666666667,24.3998500749625,1.30591805766313,183.901215805471,68.3891402714932,"LURIGANCHO"
231,2023,"March",5.11666666666667,24.4630376344086,1.14797843665768,188.341430499325,67.9177897574124,"LURIGANCHO"
232,2023,"April",0,23.7166666666667,1.26972222222222,185.1375,74.6819444444444,"LURIGANCHO"
233,2023,"May",0.9,19.8403768506057,1.35808625336927,197.530997304582,89.6497175141243,"LURIGANCHO"
234,2023,"June",0.6,18.8152777777778,1.50736111111111,205.448611111111,88.6444444444444,"LURIGANCHO"
235,2023,"July",0.4,19.7063256408695,1.39041160994878,183.08574320974,78.9960003304559,"LURIGANCHO"
236,2023,"August",2.5,19.3836962704977,1.47093499522983,178.855053507857,79.9583222647737,"LURIGANCHO"
237,2023,"September",1.1,17.613073713491,1.64561891515994,196.787204450626,89.3254344391785,"LURIGANCHO"
238,2023,"October",0.1,19.7165535956581,1.6664402173913,174.122282608696,83.0041551246537,"LURIGANCHO"
239,2023,"November",1,19.6465829846583,1.88337988826816,178.114525139665,82.7615062761506,"LURIGANCHO"
240,2023,"December",0.6,21.342876344086,1.85585464333782,177.662180349933,80.8169582772544,"LURIGANCHO"
